"Time Scaled","S0 CASSCF 2R","S1 CASSCF 2R","S0 CASSCF 2R Scaled","S1 CASSCF 2R Scaled","S0 CASSCF 2R Scaled CASPT2","S1 CASSCF 2R Scaled CASPT2","S0 CASSCF Energy","S1 CASSCF Energy","S2 CASSCF Energy","S0 CASPT2 Energy","S1 CASPT2 Energy","S2 CASPT2 Energy","Scaled S0 CASSCF Energy","Scaled S1 CASSCF Energy","Scaled S2 CASSCF Energy","Scaled S0 CASPT2 Energy","Scaled S1 CASPT2 Energy",,"Scaled S2 CASPT2 Energy","S0 Mulliken Charge","S1 Mulliken Charge","S2 Mulliken Charge","Oscillator Strength S0S1","Oscillator Strength S0S2","Oscillator Strength S1S2","Reactive TORS","Reactive HOOP","HOOP in phase","TAU overlap","full-BLA","beta-BLA","rpsb-BLA"
12.235,-868.97914126,-868.921403502,26.5,62.8,17.7,41.9,-868.971683,-868.918572,-868.873721,-871.739989,-871.690743,-871.653041,31.5,64.8,92.9,16.2,47.1,30.9,70.7,0.3818,0.3697,0.5623,1.368916,0.580855,0.424231,-15.42,-12.63,-1.395,-14.025,-0.088,-0.093,-0.047
13.4585,-868.972818856,-868.92058516,30.5,63.3,20.4,42.3,-868.966233,-868.917382,-868.867316,-871.734621,-871.68869,-871.646174,34.9,65.6,97,19.6,48.4,28.8,75.1,0.384,0.3627,0.5646,1.317235,0.544572,0.504434,-15.529,-13.232,-1.1485,-14.3805,-0.099,-0.109,-0.034
14.682,-868.967428733,-868.919446755,33.9,64,22.6,42.7,-868.962522,-868.916093,-868.862971,-871.730428,-871.686896,-871.640945,37.2,66.4,99.7,22.2,49.5,27.3,78.3,0.3981,0.3475,0.5687,1.267715,0.502259,0.552778,-15.647,-13.846,-0.900499999999994,-14.7465,-0.104,-0.12,-0.014
15.9055,-868.963521677,-868.918462797,36.3,64.6,24.3,43.2,-868.960988,-868.915028,-868.86127,-871.727947,-871.685837,-871.638025,38.2,67,100.8,23.7,50.2,26.5,80.2,0.4219,0.3269,0.5754,1.21834,0.467658,0.569663,-15.772,-14.457,-0.657499999999999,-15.1145,-0.104,-0.126,0.01
17.129,-868.961546934,-868.917930314,37.6,64.9,25.1,43.4,-868.961736,-868.914345,-868.862261,-871.727397,-871.685573,-871.637797,37.7,67.5,100.1,24.1,50.3,26.2,80.3,0.4481,0.309,0.5806,1.172649,0.452919,0.565837,-15.901,-15.053,-0.424000000000007,-15.477,-0.098,-0.126,0.038
18.3525,-868.96170633,-868.917857453,37.5,65,25,43.4,-868.964444,-868.914022,-868.865448,-871.728656,-871.685779,-871.640138,36,67.7,98.1,23.3,50.2,26.9,78.8,0.4695,0.3007,0.581,1.138589,0.466568,0.548979,-16.036,-15.617,-0.209500000000006,-15.8265,-0.088,-0.12,0.064
19.576,-868.96387321,-868.917975626,36.1,64.9,24.1,43.4,-868.96871,-868.914123,-868.870234,-871.731481,-871.686209,-871.644539,33.3,67.6,95.1,21.5,49.9,28.4,76.1,0.4827,0.3033,0.5751,1.122092,0.506626,0.515314,-16.176,-16.14,-0.018000000000001,-16.158,-0.076,-0.11,0.086
20.7995,-868.967816278,-868.918195236,33.6,64.8,22.5,43.3,-868.974,-868.914567,-868.875912,-871.735376,-871.686656,-871.65011,30,67.3,91.6,19.1,49.7,30.6,72.6,0.4881,0.3129,0.5658,1.12695,0.559729,0.459806,-16.323,-16.602,0.139499999999998,-16.4625,-0.061,-0.095,0.102
22.023,-868.973025218,-868.918486293,30.4,64.6,20.3,43.1,-868.97987,-868.915286,-868.881914,-871.73991,-871.68717,-871.656009,26.3,66.9,87.8,16.2,49.3,33.1,68.9,0.4878,0.3228,0.5572,1.158906,0.601633,0.383483,-16.479,-16.989,0.254999999999995,-16.734,-0.047,-0.078,0.109
23.2465,-868.97896371,-868.918967077,26.6,64.3,17.8,42.9,-868.985721,-868.916108,-868.887568,-871.744585,-871.687831,-871.661373,22.7,66.3,84.3,13.3,48.9,35.6,65.5,0.484,0.3265,0.5545,1.230498,0.60281,0.296532,-16.649,-17.286,0.3185,-16.9675,-0.033,-0.06,0.106
24.47,-868.98489455,-868.919672875,22.9,63.8,15.3,42.7,-868.991081,-868.917013,-868.892345,-871.7491,-871.688889,-871.665723,19.3,65.8,81.3,10.5,48.3,37.8,62.8,0.4775,0.3209,0.5604,1.351449,0.543571,0.212671,-16.833,-17.483,0.325000000000003,-17.158,-0.022,-0.043,0.095
25.6935,-868.990282368,-868.920672538,19.5,63.2,13.1,42.2,-868.995526,-868.917986,-868.895793,-871.753189,-871.690453,-871.668905,16.5,65.2,79.1,7.9,47.3,39.4,60.8,0.4698,0.3086,0.573,1.51296,0.431039,0.142522,-17.034,-17.576,0.271000000000001,-17.305,-0.014,-0.028,0.077
26.917,-868.994794489,-868.921818937,16.7,62.5,11.2,41.8,-868.998616,-868.918745,-868.897431,-871.756395,-871.692091,-871.670796,14.6,64.7,78.1,5.9,46.2,40.3,59.6,0.4602,0.2975,0.5855,1.678122,0.304356,0.091625,-17.249,-17.567,0.159000000000006,-17.408,-0.008,-0.014,0.055
28.1405,-868.998036976,-868.922631334,14.7,62,9.8,41.4,-869.000157,-868.918956,-868.897284,-871.758384,-871.693236,-871.671463,13.6,64.6,78.2,4.6,45.5,40.9,59.2,0.4508,0.2932,0.5937,1.808002,0.204246,0.060549,-17.478,-17.465,-0.006500000000003,-17.4715,-0.004,-0.002,0.03
29.364,-868.999809959,-868.92273634,13.6,61.9,9.1,41.4,-869.000386,-868.918577,-868.895876,-871.759211,-871.693595,-871.671182,13.5,64.8,79,4.1,45.3,41.2,59.4,0.4423,0.2942,0.5969,1.894454,0.140583,0.043797,-17.718,-17.279,-0.219499999999996,-17.4985,-0.001,0.008,0.008
30.5875,-869.000315593,-868.922140602,13.2,62.3,8.8,41.6,-868.999834,-868.917733,-868.893862,-871.759111,-871.69319,-871.670224,13.8,65.3,80.3,4.2,45.6,41.4,60,0.4364,0.2989,0.5983,1.947207,0.104538,0.035711,-17.965,-17.022,-0.471500000000006,-17.4935,0.001,0.015,-0.011
31.811,-868.999998822,-868.921072384,13.4,63,9,42.1,-868.99914,-868.916878,-868.892038,-871.758648,-871.692519,-871.669142,14.2,65.9,81.5,4.5,46,41.5,60.6,0.4329,0.3032,0.5985,1.979415,0.084085,0.031681,-18.218,-16.706,-0.756,-17.462,0.002,0.021,-0.024
33.0345,-868.999498137,-868.920043643,13.8,63.6,9.2,42.5,-868.99834,-868.915942,-868.890403,-871.75784,-871.691493,-871.66793,14.7,66.5,82.5,5,46.6,41.6,61.4,0.4306,0.3059,0.5971,2.001718,0.071119,0.028749,-18.471,-16.343,-1.06400000000001,-17.407,0.004,0.025,-0.03
34.258,-868.998817826,-868.918955391,14.2,64.3,9.5,43,-868.998164,-868.9155,-868.889715,-871.75749,-871.690918,-871.667354,14.9,66.7,82.9,5.2,47,41.8,61.8,0.4304,0.3053,0.5944,2.016736,0.061895,0.025621,-18.722,-15.941,-1.3905,-17.3315,0.006,0.026,-0.029
35.4815,-868.99867754,-868.918434129,14.3,64.6,9.5,43.2,-868.998235,-868.915107,-868.889655,-871.757351,-871.69059,-871.667162,14.8,67,82.9,5.3,47.2,41.9,61.9,0.4351,0.3018,0.5935,2.023595,0.054799,0.022036,-18.968,-15.52,-1.72399999999999,-17.244,0.008,0.027,-0.02
36.705,-868.998681134,-868.918074997,14.3,64.9,9.5,43.3,-868.998521,-868.914733,-868.890148,-871.757451,-871.690556,-871.667346,14.6,67.2,82.6,5.2,47.2,42,61.8,0.4431,0.2951,0.5946,2.022474,0.049596,0.018456,-19.206,-15.096,-2.05499999999999,-17.151,0.01,0.026,-0.007
37.9284,-868.99882068,-868.917837633,14.2,65,9.5,43.4,-868.998751,-868.914243,-868.890907,-871.757562,-871.690632,-871.667714,14.5,67.5,82.2,5.2,47.2,42,61.5,0.4531,0.2864,0.5963,2.014728,0.04645,0.015438,-19.435,-14.688,-2.37350000000001,-17.0615,0.012,0.023,0.011
39.1519,-868.998856914,-868.917547592,14.2,65.2,9.5,43.5,-868.998866,-868.913677,-868.89181,-871.757558,-871.690678,-871.668136,14.4,67.9,81.6,5.2,47.1,41.9,61.3,0.463,0.2778,0.5986,2.00084,0.046552,0.013685,-19.654,-14.318,-2.66799999999999,-16.986,0.014,0.02,0.029
40.3754,-868.998754471,-868.917214881,14.2,65.4,9.5,43.7,-868.998949,-868.913334,-868.892931,-871.757499,-871.690763,-871.668699,14.4,68.1,80.9,5.2,47.1,41.9,60.9,0.4709,0.2701,0.6005,1.981283,0.052347,0.013847,-19.86,-14.006,-2.92700000000001,-16.933,0.014,0.015,0.047
41.5989,-868.99863138,-868.917099014,14.3,65.5,9.6,43.7,-868.999033,-868.913443,-868.894259,-871.757416,-871.690903,-871.669429,14.3,68,80.1,5.2,47,41.8,60.5,0.4757,0.2654,0.6009,1.954267,0.068277,0.016925,-20.053,-13.774,-3.1395,-16.9135,0.013,0.01,0.062
42.8224,-868.998543618,-868.917400451,14.4,65.3,9.6,43.6,-868.999177,-868.914273,-868.895806,-871.757451,-871.691253,-871.670457,14.2,67.5,79.1,5.2,46.8,41.6,59.8,0.4761,0.2649,0.5989,1.915352,0.100795,0.024458,-20.231,-13.643,-3.294,-16.937,0.01,0.004,0.072
44.0459,-868.998570791,-868.918337389,14.3,64.7,9.6,43.2,-868.999005,-868.915589,-868.897089,-871.757343,-871.691646,-871.671403,14.3,66.7,78.3,5.3,46.5,41.2,59.2,0.4725,0.2697,0.5936,1.856788,0.15727,0.039089,-20.395,-13.632,-3.3815,-17.0135,0.006,-0.004,0.076
45.2694,-868.998358216,-868.919646433,14.5,63.9,9.7,42.7,-868.998335,-868.917279,-868.897793,-871.757043,-871.692231,-871.67203,14.8,65.6,77.8,5.5,46.2,40.7,58.8,0.4653,0.2804,0.5852,1.775662,0.23853,0.063606,-20.545,-13.759,-3.393,-17.152,-0.001,-0.012,0.075
46.4929,-868.997734267,-868.921204518,14.9,62.9,9.9,42,-868.996705,-868.918869,-868.897274,-871.756149,-871.692792,-871.671676,15.8,64.6,78.2,6,45.8,39.8,59.1,0.4569,0.2958,0.577,1.677724,0.334763,0.100276,-20.683,-14.031,-3.32599999999999,-17.357,-0.011,-0.022,0.069
47.7164,-868.996215335,-868.922562845,15.8,62,10.6,41.4,-868.993741,-868.920045,-868.89503,-871.75444,-871.693227,-871.669861,17.6,63.9,79.6,7.1,45.5,38.4,60.2,0.4438,0.312,0.5696,1.587236,0.42188,0.147555,-20.811,-14.449,-3.181,-17.63,-0.022,-0.032,0.058
48.9399,-868.993457784,-868.923427122,17.5,61.5,11.7,41.1,-868.989443,-868.920523,-868.891067,-871.751672,-871.69319,-871.666387,20.3,63.6,82.1,8.9,45.6,36.7,62.4,0.4298,0.3267,0.5664,1.510712,0.486382,0.204071,-20.929,-15.007,-2.961,-17.968,-0.034,-0.044,0.044
50.1634,-868.989417865,-868.923600425,20.1,61.4,13.4,41,-868.983775,-868.919915,-868.885276,-871.747606,-871.692175,-871.661081,23.9,64,85.7,11.4,46.2,34.8,65.7,0.415,0.3389,0.5671,1.452797,0.522386,0.266175,-21.032,-15.687,-2.6725,-18.3595,-0.048,-0.057,0.03
51.3869,-868.984051435,-868.922708897,23.4,61.9,15.7,41.4,-868.97738,-868.91842,-868.878425,-871.742637,-871.690281,-871.654624,27.9,64.9,90,14.5,47.4,32.9,69.8,0.4016,0.3485,0.5701,1.408012,0.534015,0.330446,-21.116,-16.468,-2.32400000000001,-18.792,-0.061,-0.07,0.017
52.6104,-868.97800402,-868.920954336,27.2,63,18.2,42.1,-868.971786,-868.91714,-868.872078,-871.738092,-871.688472,-871.648583,31.4,65.7,94,17.4,48.5,31.1,73.5,0.39,0.3566,0.5737,1.375771,0.528648,0.389668,-21.176,-17.329,-1.92349999999999,-19.2525,-0.073,-0.082,0.007
53.8339,-868.972747777,-868.919415235,30.5,64,20.4,42.8,-868.96713,-868.915911,-868.866788,-871.733998,-871.686747,-871.643324,34.3,66.5,97.3,19.9,49.6,29.7,76.8,0.3872,0.3616,0.5783,1.342955,0.514738,0.444845,-21.208,-18.249,-1.4795,-19.7285,-0.083,-0.093,0.002
55.0574,-868.968387323,-868.918035547,33.3,64.9,22.2,43.3,-868.964324,-868.915424,-868.86343,-871.731377,-871.685737,-871.63992,36.1,66.8,99.4,21.6,50.2,28.6,79,0.3868,0.3638,0.5813,1.320596,0.498775,0.482771,-21.214,-19.2,-1.00700000000001,-20.207,-0.089,-0.101,0.004
56.2809,-868.965698506,-868.91745973,35,65.2,23.4,43.6,-868.96359,-868.915689,-868.862596,-871.73048,-871.685886,-871.638789,36.6,66.6,99.9,22.2,50.1,27.9,79.7,0.3972,0.3609,0.5864,1.296267,0.485076,0.505041,-21.195,-20.161,-0.516999999999996,-20.678,-0.091,-0.105,0.013
57.5044,-868.964891104,-868.917873396,35.5,65,23.7,43.4,-868.964794,-868.916579,-868.864148,-871.731366,-871.687063,-871.639989,35.8,66.1,99,21.6,49.4,27.8,78.9,0.4143,0.3538,0.5925,1.2757,0.476939,0.507583,-21.159,-21.108,-0.025499999999994,-21.1335,-0.088,-0.106,0.026
58.7279,-868.965810577,-868.919062568,34.9,64.2,23.3,42.9,-868.967358,-868.917531,-868.867356,-871.733514,-871.688576,-871.643016,34.2,65.5,96.9,20.2,48.4,28.2,77,0.432,0.3482,0.5978,1.26363,0.481847,0.491833,-21.112,-22.014,0.451000000000008,-21.563,-0.082,-0.102,0.043
59.9514,-868.967958559,-868.920342092,33.5,63.4,22.4,42.4,-868.970674,-868.918026,-868.871548,-871.736277,-871.689865,-871.64713,32.1,65.1,94.3,18.5,47.6,29.1,74.5,0.4488,0.3437,0.5991,1.257505,0.498057,0.461465,-21.06,-22.849,0.894499999999994,-21.9545,-0.072,-0.095,0.06
61.1749,-868.970867397,-868.921145274,31.7,62.9,21.2,42,-868.974198,-868.917866,-868.875982,-871.739132,-871.690438,-871.651622,29.9,65.2,91.5,16.7,47.3,30.6,71.6,0.4613,0.343,0.5979,1.264722,0.52118,0.415353,-21.013,-23.585,1.286,-22.299,-0.06,-0.085,0.074
62.3984,-868.974074116,-868.921168029,29.7,62.9,19.8,42,-868.977838,-868.917346,-868.880334,-871.742001,-871.690388,-871.656042,27.6,65.6,88.8,14.9,47.3,32.4,68.9,0.467,0.3439,0.5946,1.295756,0.537972,0.352738,-20.975,-24.195,1.61,-22.585,-0.048,-0.072,0.085
63.6219,-868.977537274,-868.92068113,27.5,63.2,18.4,42.2,-868.981579,-868.916808,-868.884483,-871.744871,-871.69013,-871.660111,25.3,65.9,86.2,13.1,47.5,34.4,66.3,0.4678,0.3426,0.5915,1.356208,0.530583,0.280809,-20.955,-24.658,1.85149999999999,-22.8065,-0.036,-0.058,0.088
64.8454,-868.981218425,-868.920134719,25.2,63.6,16.9,42.5,-868.985478,-868.91665,-868.888332,-871.747887,-871.690168,-871.663755,22.8,66,83.8,11.2,47.4,36.2,64,0.4642,0.3366,0.591,1.453264,0.485256,0.208117,-20.955,-24.958,2.00149999999999,-22.9565,-0.025,-0.044,0.085
66.0689,-868.985135303,-868.919983981,22.8,63.7,15.2,42.5,-868.989253,-868.916885,-868.891599,-871.750899,-871.690724,-871.666857,20.5,65.9,81.7,9.3,47.1,37.8,62.1,0.4576,0.3263,0.593,1.578507,0.403152,0.144488,-20.98,-25.085,2.05250000000001,-23.0325,-0.016,-0.031,0.076
67.2924,-868.988971615,-868.92027321,20.4,63.5,13.6,42.4,-868.9927,-868.917473,-868.894017,-871.753841,-871.691877,-871.669369,18.3,65.5,80.2,7.5,46.4,38.9,60.5,0.4503,0.316,0.596,1.711414,0.303397,0.096553,-21.031,-25.031,2,-23.031,-0.009,-0.018,0.061
68.5159,-868.992544906,-868.92089174,18.1,63.1,12.1,42.1,-868.99541,-868.918117,-868.895262,-871.756397,-871.693192,-871.671162,16.6,65.1,79.4,5.9,45.6,39.7,59.4,0.4408,0.3086,0.5969,1.830144,0.211527,0.064401,-21.105,-24.801,1.848,-22.953,-0.004,-0.006,0.042
69.7394,-868.995431024,-868.921436236,16.3,62.7,10.9,41.9,-868.997272,-868.918467,-868.895484,-871.758366,-871.69437,-871.672257,15.4,64.9,79.3,4.7,44.8,40.1,58.7,0.433,0.3055,0.5966,1.912029,0.146747,0.046768,-21.199,-24.406,1.6035,-22.8025,-0.001,0.004,0.021
70.9629,-868.997471612,-868.921664893,15,62.6,10,41.8,-868.997708,-868.917989,-868.894247,-871.75907,-871.694556,-871.672048,15.1,65.2,80.1,4.2,44.7,40.5,58.8,0.4236,0.3066,0.5939,1.964374,0.108353,0.038852,-21.31,-23.862,1.276,-22.586,0.001,0.012,0
72.1864,-868.998119945,-868.921001662,14.6,63,9.8,42.1,-868.997028,-868.91679,-868.892045,-871.758605,-871.693714,-871.670746,15.6,65.9,81.4,4.5,45.2,40.7,59.6,0.4133,0.3096,0.5894,1.994411,0.089229,0.037064,-21.431,-23.2,0.884499999999989,-22.3155,0.001,0.019,-0.018
73.4099,-868.997652534,-868.919602395,14.9,63.9,10,42.7,-868.995891,-868.915439,-868.88967,-871.757483,-871.692287,-871.668936,16.3,66.8,82.9,5.2,46.1,40.9,60.8,0.4029,0.3141,0.5838,2.010819,0.082859,0.038927,-21.556,-22.457,0.450499999999991,-22.0065,0.001,0.023,-0.032
74.6334,-868.996708807,-868.918046129,15.5,64.9,10.4,43.3,-868.994888,-868.91441,-868.887788,-871.756233,-871.690777,-871.667161,16.9,67.4,84.1,6,47.1,41.1,61.9,0.394,0.3183,0.5776,2.017659,0.085033,0.042552,-21.677,-21.674,-0.001499999999993,-21.6755,0,0.024,-0.04
75.8569,-868.995849746,-868.916848051,16,65.6,10.7,43.8,-868.994239,-868.91383,-868.886697,-871.755127,-871.689465,-871.665697,17.3,67.8,84.8,6.7,47.9,41.2,62.8,0.3886,0.321,0.5732,2.013829,0.094946,0.047005,-21.788,-20.886,-0.451000000000008,-21.337,-0.001,0.023,-0.04
77.0804,-868.995264788,-868.916175234,16.4,66,11,44.1,-868.994315,-868.914061,-868.886824,-871.754712,-871.688945,-871.665103,17.3,67.6,84.7,6.9,48.2,41.3,63.2,0.3886,0.322,0.5715,1.995443,0.114015,0.052357,-21.883,-20.12,-0.881500000000003,-21.0015,-0.002,0.02,-0.032
78.3039,-868.995304124,-868.916422473,16.4,65.9,10.9,44,-868.995216,-868.915265,-868.888241,-871.755272,-871.689555,-871.665703,16.7,66.9,83.8,6.6,47.8,41.2,62.8,0.3947,0.3214,0.5729,1.957629,0.145185,0.059909,-21.959,-19.401,-1.279,-20.68,-0.003,0.014,-0.016
79.5274,-868.996057566,-868.917734603,15.9,65.1,10.6,43.5,-868.996213,-868.916742,-868.890267,-871.756124,-871.690772,-871.666837,16.1,66,82.6,6.1,47.1,41,62.1,0.4081,0.3195,0.5779,1.8872,0.195323,0.073294,-22.017,-18.746,-1.63549999999999,-20.3815,-0.004,0.006,0.006
80.7509,-868.996824136,-868.919474313,15.4,64,10.3,42.7,-868.996381,-868.917797,-868.891679,-871.756326,-871.691701,-871.667587,16,65.3,81.7,5.9,46.5,40.6,61.6,0.425,0.3195,0.582,1.786649,0.264619,0.095104,-22.059,-18.173,-1.943,-20.116,-0.006,-0.003,0.032
81.9744,-868.996708579,-868.920800627,15.5,63.1,10.4,42.2,-868.995163,-868.918099,-868.891723,-871.755263,-871.691819,-871.667246,16.7,65.1,81.7,6.6,46.4,39.8,61.8,0.4416,0.3226,0.5828,1.665006,0.346824,0.127084,-22.091,-17.697,-2.197,-19.894,-0.009,-0.015,0.058
83.1979,-868.995212292,-868.921293248,16.4,62.8,11,42,-868.992852,-868.918032,-868.890594,-871.753173,-871.691503,-871.66589,18.2,65.1,82.4,7.9,46.6,38.7,62.7,0.4559,0.3274,0.5811,1.536437,0.42836,0.169685,-22.119,-17.332,-2.3935,-19.7255,-0.014,-0.027,0.081
84.4214,-868.992682203,-868.921346679,18,62.8,12,42,-868.989465,-868.917691,-868.888268,-871.750103,-871.690815,-871.663344,20.3,65.4,83.8,9.8,47,37.2,64.3,0.4655,0.3315,0.5786,1.427543,0.488839,0.218754,-22.147,-17.088,-2.5295,-19.6175,-0.02,-0.04,0.098
85.6449,-868.989148094,-868.921085307,20.3,63,13.5,42.1,-868.985546,-868.917423,-868.885154,-871.746677,-871.689998,-871.65994,22.8,65.5,85.8,12,47.6,35.6,66.4,0.468,0.333,0.5779,1.356433,0.51871,0.266056,-22.177,-16.966,-2.60549999999999,-19.5715,-0.028,-0.054,0.108
86.8684,-868.985178838,-868.920806708,22.7,63.1,15.2,42.2,-868.981325,-868.917153,-868.881568,-871.743189,-871.689257,-871.656069,25.4,65.7,88,14.2,48,33.8,68.8,0.4649,0.3318,0.5792,1.314854,0.525244,0.309948,-22.207,-16.962,-2.6225,-19.5845,-0.037,-0.066,0.108
88.0919,-868.981003926,-868.920546572,25.4,63.3,16.9,42.3,-868.977724,-868.917441,-868.878337,-871.740632,-871.689173,-871.652836,27.7,65.5,90.1,15.8,48.1,32.3,70.9,0.4566,0.3317,0.5819,1.298803,0.519697,0.346623,-22.231,-17.066,-2.5825,-19.6485,-0.047,-0.077,0.1
89.3154,-868.9775448,-868.920774175,27.5,63.2,18.4,42.2,-868.975417,-868.918664,-868.876199,-871.739735,-871.690303,-871.651209,29.1,64.7,91.4,16.3,47.4,31.1,71.9,0.4438,0.3343,0.5835,1.299078,0.512296,0.376508,-22.244,-17.264,-2.48999999999999,-19.754,-0.057,-0.087,0.085
90.5389,-868.975498243,-868.921827855,28.8,62.5,19.3,41.7,-868.973821,-868.919981,-868.8746,-871.739814,-871.691796,-871.650677,30.1,63.9,92.4,16.3,46.4,30.1,72.2,0.4267,0.3413,0.5841,1.311582,0.509582,0.399299,-22.244,-17.543,-2.3505,-19.8935,-0.066,-0.093,0.064
91.7624,-868.974251501,-868.922844694,29.6,61.9,19.8,41.3,-868.971925,-868.920217,-868.872766,-871.739641,-871.69251,-871.650185,31.3,63.8,93.5,16.4,46,29.6,72.5,0.4095,0.3515,0.5832,1.328535,0.512539,0.418921,-22.227,-17.887,-2.17,-20.057,-0.073,-0.097,0.041
92.9859,-868.97279387,-868.92271891,30.5,61.9,20.4,41.4,-868.969844,-868.91939,-868.870678,-871.739057,-871.69212,-871.64953,32.6,64.3,94.9,16.8,46.2,29.4,72.9,0.3891,0.3655,0.5805,1.355455,0.522156,0.428589,-22.192,-18.284,-1.95400000000001,-20.238,-0.079,-0.098,0.016
94.2094,-868.971151819,-868.921440554,31.5,62.7,21.1,41.9,-868.968662,-868.918496,-868.869577,-871.738879,-871.69157,-871.649588,33.4,64.9,95.5,16.9,46.6,29.7,72.9,0.368,0.3794,0.5759,1.387601,0.53514,0.426072,-22.14,-18.709,-1.71549999999999,-20.4245,-0.082,-0.096,-0.007
95.4329,-868.970361419,-868.920118512,32,63.6,21.4,42.5,-868.968281,-868.917435,-868.869398,-871.738831,-871.690675,-871.649983,33.6,65.5,95.7,16.9,47.1,30.2,72.7,0.3515,0.3894,0.5717,1.42183,0.546717,0.408548,-22.069,-19.145,-1.46199999999999,-20.607,-0.082,-0.092,-0.025
96.6564,-868.970276012,-868.918741401,32.1,64.4,21.4,43,-868.969033,-868.916683,-868.870295,-871.739215,-871.689804,-871.65091,33.1,66,95.1,16.7,47.7,31,72.1,0.338,0.3945,0.5674,1.462297,0.552815,0.372946,-21.976,-19.57,-1.203,-20.773,-0.079,-0.085,-0.037
