"Time Scaled","S0 CASSCF 2R","S1 CASSCF 2R","S0 CASSCF 2R Scaled","S1 CASSCF 2R Scaled","S0 CASSCF 2R Scaled CASPT2","S1 CASSCF 2R Scaled CASPT2","S0 CASSCF Energy","S1 CASSCF Energy","S2 CASSCF Energy","S0 CASPT2 Energy","S1 CASPT2 Energy","S2 CASPT2 Energy","Scaled S0 CASSCF Energy","Scaled S1 CASSCF Energy","Scaled S2 CASSCF Energy","Scaled S0 CASPT2 Energy","Scaled S1 CASPT2 Energy",,"Scaled S2 CASPT2 Energy","S0 Mulliken Charge","S1 Mulliken Charge","S2 Mulliken Charge","Oscillator Strength S0S1","Oscillator Strength S0S2","Oscillator Strength S1S2","Reactive TORS","Reactive HOOP","HOOP in phase","TAU overlap","full-BLA","beta-BLA","rpsb-BLA"
0,-869.021420803,-868.908881068,0,70.6,0,47.2,-869.021843,-868.907728,-868.880461,-871.765781,-871.68955,-871.652206,0,71.6,88.7,0,47.8,47.8,71.3,0.5706,0.2698,0.5317,1.429031,0.329143,0.051163,-15.07,-9.261,-2.9045,-12.1655,0.09,0.09,0.114
1.2235,-869.021620967,-868.9102826,-0.1,69.7,-0.1,46.6,-869.021488,-868.910346,-868.88486,-871.766546,-871.691652,-871.656224,0.2,70,86,-0.5,46.5,47,68.7,0.5607,0.267,0.5355,1.48539,0.303284,0.04831,-15.069,-9.345,-2.86199999999999,-12.207,0.081,0.082,0.101
2.447,-869.021184698,-868.913039952,0.1,68,0.1,45.4,-869.020138,-868.913349,-868.890678,-871.767098,-871.694045,-871.661678,1.1,68.1,82.3,-0.8,45,45.8,65.3,0.5449,0.2623,0.5442,1.584949,0.251891,0.040584,-15.067,-9.48400000000001,-2.7915,-12.2755,0.067,0.069,0.081
3.6705,-869.019682753,-868.916328591,1.1,65.9,0.7,44.1,-869.017405,-868.915721,-868.896529,-871.767023,-871.695906,-871.667461,2.8,66.6,78.6,-0.8,43.8,44.6,61.7,0.5243,0.2547,0.5594,1.733408,0.164335,0.025491,-15.069,-9.68000000000001,-2.69449999999999,-12.3745,0.05,0.053,0.057
4.894,-869.016791212,-868.919123281,2.9,64.2,1.9,42.9,-869.013177,-868.916998,-868.901025,-871.766054,-871.696528,-871.672545,5.4,65.8,75.8,-0.2,43.5,43.7,58.5,0.5002,0.2468,0.5807,1.912635,0.050718,0.006151,-15.077,-9.93100000000001,-2.57299999999999,-12.504,0.03,0.034,0.031
6.1175,-869.01242743,-868.92093132,5.6,63.1,3.8,42.1,-869.007648,-868.917759,-868.902856,-871.764144,-871.69554,-871.676291,8.9,65.3,74.7,1,44.1,43.1,56.2,0.4731,0.2553,0.5902,1.999817,0.025771,0.00379,-15.095,-10.239,-2.428,-12.667,0.008,0.014,0.005
7.341,-869.006957632,-868.921857227,9.1,62.5,6.1,41.7,-869.000971,-868.918386,-868.901067,-871.760996,-871.694237,-871.677088,13.1,64.9,75.8,3,44.9,41.9,55.7,0.448,0.2926,0.576,1.860867,0.207252,0.045874,-15.126,-10.607,-2.2595,-12.8665,-0.013,-0.007,-0.018
8.5645,-869.00055851,-868.922095932,13.1,62.3,8.7,41.6,-868.993595,-868.919167,-868.896143,-871.75681,-871.693858,-871.674083,17.7,64.4,78.9,5.6,45.1,39.5,57.5,0.4239,0.3323,0.5598,1.663886,0.422951,0.12236,-15.175,-11.034,-2.07050000000001,-13.1045,-0.035,-0.029,-0.036
9.788,-868.993615944,-868.922166224,17.4,62.3,11.7,41.6,-868.98578,-868.91945,-868.889062,-871.751536,-871.693375,-871.668029,22.6,64.3,83.3,8.9,45.4,36.5,61.3,0.4037,0.357,0.5564,1.52269,0.549567,0.218017,-15.241,-11.519,-1.861,-13.38,-0.055,-0.051,-0.047
11.0115,-868.986243415,-868.921927337,22.1,62.4,14.7,41.7,-868.978284,-868.919241,-868.881208,-871.745745,-871.692335,-871.660579,27.3,64.4,88.3,12.6,46.1,33.5,66,0.3889,0.3684,0.5593,1.432467,0.59175,0.322971,-15.323,-12.055,-1.634,-13.689,-0.073,-0.073,-0.051
