Time Scaled,S0 CASSCF 2R,S1 CASSCF 2R,S0 CASSCF 2R Scaled,S1 CASSCF 2R Scaled,S0 CASSCF 2R Scaled CASPT2,S1 CASSCF 2R Scaled CASPT2,S0 CASSCF Energy,S1 CASSCF Energy,S2 CASSCF Energy,S0 CASPT2 Energy,S1 CASPT2 Energy,S2 CASPT2 Energy,Scaled S0 CASSCF Energy,Scaled S1 CASSCF Energy,Scaled S2 CASSCF Energy,Scaled S0 CASPT2 Energy,Scaled S1 CASPT2 Energy,Scaled S2 CASPT2 Energy,S0 Mulliken Charge,S1 Mulliken Charge,S2 Mulliken Charge,Oscillator Strength S0S1,Oscillator Strength S0S2,Oscillator Strength S1S2,Reactive TORS,Reactive HOOP,HOOP in phase,TAU overlap,full-BLA,beta-BLA,rpsb-BLA
0.0000,-869.180541149,-869.059394851,0.0,76.0,0.0,52.1,-869.180775,-869.057837,-869.036626,-871.922743,-871.838522,-871.805605,0.0,77.1,90.5,0.0,52.8,73.5,0.6103,0.3312,0.5902,1.372860,0.346955,0.041772,-16.313999999999993,-9.251000000000005,-3.531499999999994,-12.782499999999999,0.093,0.095,0.109
1.2082,-869.180510664,-869.060423309,0.0,75.4,0.0,51.6,-869.180353,-869.060215,-869.040856,-871.923336,-871.840586,-871.809459,0.3,75.7,87.8,-0.4,51.6,71.1,0.6007,0.3264,0.5958,1.426041,0.317469,0.037988,-16.328000000000003,-9.328000000000003,-3.5,-12.828000000000003,0.085,0.088,0.097
2.4164,-869.179998531,-869.062967763,0.3,73.8,0.2,50.5,-869.179108,-869.063092,-869.046638,-871.923811,-871.843165,-871.814835,1.0,73.8,84.2,-0.7,49.9,67.7,0.5861,0.3165,0.6082,1.526344,0.253510,0.028907,-16.35300000000001,-9.457999999999998,-3.447500000000005,-12.905500000000004,0.072,0.076,0.077
3.6246,-869.178599383,-869.066184438,1.2,71.8,0.8,49.2,-869.176507,-869.065494,-869.052447,-871.923621,-871.845316,-871.820538,2.7,72.3,80.5,-0.6,48.6,64.1,0.5658,0.2985,0.6315,1.689026,0.135066,0.013027,-16.38900000000001,-9.645999999999987,-3.3715000000000117,-13.017499999999998,0.055,0.061,0.053
4.8327,-869.175823626,-869.06913178,3.0,69.9,2.0,47.9,-869.172393,-869.067296,-869.056634,-871.922500,-871.845720,-871.825931,5.3,71.2,77.9,0.2,48.3,60.8,0.5423,0.2835,0.6563,1.855684,0.013765,0.000437,-16.438999999999993,-9.893,-3.272999999999996,-13.165999999999997,0.035,0.044,0.027
6.0409,-869.17166213,-869.07137772,5.6,68.5,3.8,46.9,-869.166742,-869.069206,-869.057329,-871.920161,-871.844274,-871.830235,8.8,70.0,77.5,1.6,49.2,58.0,0.5169,0.3177,0.6358,1.749930,0.155890,0.025700,-16.506,-10.206999999999994,-3.1495000000000033,-13.356499999999997,0.014,0.025,0.001
7.2491,-869.166217809,-869.072976386,9.0,67.5,6.2,46.2,-869.159414,-869.071155,-869.053810,-871.916217,-871.844262,-871.829865,13.4,68.8,79.7,4.1,49.2,58.3,0.4915,0.3714,0.5978,1.499488,0.424282,0.089198,-16.592000000000013,-10.597000000000008,-2.9975000000000023,-13.59450000000001,-0.008,0.004,-0.023
8.4573,-869.159293127,-869.074035966,13.3,66.8,9.1,45.8,-869.150828,-869.072304,-869.047277,-871.910784,-871.844817,-871.825201,18.8,68.1,83.8,7.5,48.9,61.2,0.4696,0.4010,0.5835,1.341981,0.568945,0.169645,-16.697000000000003,-11.068000000000012,-2.8144999999999953,-13.882500000000007,-0.030,-0.017,-0.044
9.6655,-869.151060027,-869.074628888,18.5,66.5,12.7,45.5,-869.141572,-869.072333,-869.038891,-871.904151,-871.844484,-871.817903,24.6,68.0,89.0,11.7,49.1,65.8,0.4525,0.4108,0.5851,1.258000,0.605027,0.258339,-16.823000000000008,-11.617999999999995,-2.6025000000000063,-14.220500000000001,-0.051,-0.039,-0.058
10.8737,-869.142072629,-869.074443599,24.1,66.6,16.5,45.6,-869.132312,-869.071102,-869.029781,-871.896736,-871.842827,-871.809219,30.4,68.8,94.7,16.3,50.1,71.2,0.4428,0.4068,0.5928,1.205476,0.576184,0.342872,-16.964,-12.23599999999999,-2.3640000000000043,-14.599999999999994,-0.071,-0.061,-0.065
12.0819,-869.133030762,-869.073185985,29.8,67.4,20.4,46.2,-869.124056,-869.069084,-869.021371,-871.889457,-871.840313,-871.800533,35.6,70.1,100.0,20.9,51.7,76.7,0.4425,0.3933,0.6022,1.162781,0.515902,0.407684,-17.119,-12.909999999999997,-2.1045000000000016,-15.014499999999998,-0.086,-0.079,-0.064
13.2900,-869.124898651,-869.071288813,34.9,68.6,23.9,47.0,-869.117835,-869.066986,-869.015053,-871.883415,-871.837824,-871.793306,39.5,71.4,104.0,24.7,53.3,81.2,0.4529,0.3728,0.6135,1.119620,0.451016,0.442339,-17.283999999999992,-13.625,-1.829499999999996,-15.454499999999996,-0.097,-0.094,-0.054
14.4982,-869.118626013,-869.069478932,38.9,69.7,26.6,47.7,-869.114521,-869.065514,-869.011923,-871.879574,-871.836355,-871.788741,41.6,72.3,106.0,27.1,54.2,84.1,0.4736,0.3463,0.6247,1.070604,0.397394,0.452966,-17.454000000000008,-14.36699999999999,-1.5435000000000088,-15.910499999999999,-0.101,-0.103,-0.037
15.7064,-869.115051691,-869.068540884,41.1,70.3,28.2,48.1,-869.114411,-869.065050,-869.012115,-871.878452,-871.836149,-871.787613,41.6,72.6,105.8,27.8,54.3,84.8,0.4964,0.3242,0.6315,1.026624,0.371423,0.453555,-17.62700000000001,-15.117999999999995,-1.2545000000000073,-16.372500000000002,-0.099,-0.107,-0.014
16.9146,-869.114477124,-869.068674225,41.5,70.2,28.4,48.1,-869.117296,-869.065762,-869.015305,-871.880154,-871.837121,-871.790096,39.8,72.2,103.8,26.7,53.7,83.2,0.5128,0.3149,0.6293,0.996463,0.382444,0.455850,-17.804000000000002,-15.866000000000014,-0.9689999999999941,-16.835000000000008,-0.092,-0.104,0.012
18.1228,-869.116864209,-869.06977362,40.0,69.5,27.4,47.6,-869.122405,-869.067144,-869.020761,-871.883995,-871.838780,-871.795401,36.6,71.3,100.4,24.3,52.7,79.9,0.5240,0.3188,0.6191,0.974284,0.429277,0.456232,-17.98400000000001,-16.593999999999994,-0.6950000000000074,-17.289,-0.080,-0.096,0.039
19.3310,-869.121615972,-869.071270362,37.0,68.6,25.3,47.0,-869.128563,-869.068563,-869.027190,-871.888906,-871.840123,-871.802106,32.8,70.4,96.4,21.2,51.8,75.7,0.5273,0.3354,0.6025,0.965657,0.507083,0.438565,-18.173000000000002,-17.283999999999992,-0.444500000000005,-17.728499999999997,-0.066,-0.083,0.063
20.5392,-869.12767915,-869.072374873,33.2,67.9,22.7,46.5,-869.135059,-869.069583,-869.033815,-871.894057,-871.840799,-871.809041,28.7,69.8,92.2,18.0,51.4,71.3,0.5264,0.3582,0.5834,0.966229,0.597532,0.394010,-18.376000000000005,-17.914999999999992,-0.23050000000000637,-18.1455,-0.049,-0.068,0.081
21.7473,-869.134328653,-869.072846206,29.0,67.6,19.9,46.3,-869.141430,-869.070054,-869.040050,-871.898921,-871.840858,-871.815361,24.7,69.5,88.3,14.9,51.4,67.4,0.5249,0.3792,0.5666,0.976949,0.673679,0.328278,-18.59899999999999,-18.471000000000004,-0.06399999999999295,-18.534999999999997,-0.033,-0.051,0.092
22.9555,-869.14096099,-869.072803709,24.8,67.6,17.0,46.3,-869.147229,-869.070170,-869.045382,-871.903307,-871.840661,-871.820407,21.1,69.4,85.0,12.2,51.5,64.2,0.5217,0.3913,0.5585,1.021292,0.702446,0.254806,-18.84899999999999,-18.936000000000007,0.043500000000008754,-18.8925,-0.019,-0.034,0.094
24.1637,-869.146940847,-869.072660046,21.1,67.7,14.4,46.4,-869.151912,-869.069973,-869.049243,-871.906928,-871.840528,-871.823622,18.1,69.5,82.5,9.9,51.6,62.2,0.5165,0.3887,0.5642,1.120632,0.658933,0.188522,-19.12899999999999,-19.302999999999997,0.0870000000000033,-19.215999999999994,-0.008,-0.019,0.088
25.3719,-869.151586521,-869.072606624,18.2,67.7,12.4,46.4,-869.155857,-869.070381,-869.052107,-871.910339,-871.841453,-871.825734,15.6,69.3,80.7,7.8,51.0,60.9,0.5099,0.3744,0.5824,1.273368,0.548177,0.136753,-19.442000000000007,-19.56899999999999,0.06349999999999056,-19.505499999999998,-0.000,-0.006,0.074
26.5801,-869.155421507,-869.07339857,15.8,67.2,10.8,46.1,-869.158483,-869.071021,-869.053366,-871.913037,-871.842896,-871.826642,14.0,68.9,79.9,6.1,50.1,60.3,0.5003,0.3582,0.6031,1.441988,0.414267,0.100904,-19.784999999999997,-19.739000000000004,-0.022999999999996135,-19.762,0.004,0.005,0.055
27.7883,-869.158100165,-869.074279663,14.1,66.7,9.6,45.7,-869.159402,-869.071301,-869.052883,-871.914484,-871.844007,-871.826487,13.4,68.7,80.3,5.2,49.4,60.4,0.4909,0.3504,0.6176,1.568539,0.315248,0.081703,-20.155,-19.822000000000003,-0.1664999999999992,-19.988500000000002,0.006,0.013,0.033
28.9964,-869.159208965,-869.074597815,13.4,66.5,9.2,45.5,-869.158696,-869.071085,-869.050966,-871.914632,-871.844296,-871.825454,13.9,68.8,81.5,5.1,49.2,61.0,0.4794,0.3525,0.6235,1.648009,0.262218,0.075137,-20.544999999999987,-19.834000000000003,-0.35549999999999216,-20.189499999999995,0.006,0.019,0.011
30.2046,-869.158770676,-869.07419194,13.7,66.7,9.4,45.7,-869.156846,-869.070329,-869.048215,-871.913661,-871.843709,-871.823738,15.0,69.3,83.2,5.7,49.6,62.1,0.4685,0.3617,0.6249,1.688240,0.244177,0.077225,-20.948000000000008,-19.787000000000006,-0.5805000000000007,-20.367500000000007,0.005,0.022,-0.008
31.4128,-869.157195396,-869.073171496,14.6,67.4,10.0,46.2,-869.154530,-869.069491,-869.045424,-871.912109,-871.842704,-871.821809,16.5,69.8,84.9,6.7,50.2,63.3,0.4595,0.3727,0.6239,1.699085,0.251030,0.085079,-21.35499999999999,-19.69399999999999,-0.8305000000000007,-20.52449999999999,0.002,0.022,-0.023
32.6210,-869.155119408,-869.072060662,16.0,68.1,10.9,46.6,-869.152162,-869.068797,-869.042967,-871.910318,-871.841592,-871.819888,18.0,70.3,86.5,7.8,50.9,64.5,0.4528,0.3840,0.6221,1.688169,0.273816,0.096288,-21.75800000000001,-19.570999999999998,-1.093500000000006,-20.664500000000004,-0.001,0.020,-0.031
33.8292,-869.152926368,-869.071138925,17.3,68.7,11.9,47.0,-869.149979,-869.068400,-869.041117,-871.908577,-871.840673,-871.818239,19.3,70.5,87.6,8.9,51.5,65.6,0.4492,0.3925,0.6203,1.659155,0.307531,0.109329,-22.151999999999987,-19.430000000000007,-1.36099999999999,-20.790999999999997,-0.004,0.016,-0.032
35.0374,-869.150838317,-869.070592981,18.6,69.0,12.8,47.3,-869.148196,-869.068461,-869.040015,-871.907195,-871.840252,-871.817116,20.4,70.5,88.3,9.8,51.8,66.3,0.4494,0.3977,0.6190,1.614617,0.348490,0.123825,-22.53200000000001,-19.287000000000006,-1.6225000000000023,-20.90950000000001,-0.008,0.011,-0.027
36.2456,-869.149064036,-869.070591065,19.8,69.0,13.5,47.3,-869.146658,-869.068782,-869.039361,-871.906062,-871.840219,-871.816330,21.4,70.3,88.7,10.5,51.8,66.8,0.4526,0.3990,0.6182,1.558521,0.392250,0.139918,-22.895999999999987,-19.155,-1.8704999999999927,-21.025499999999994,-0.011,0.005,-0.016
37.4537,-869.1474658,-869.070924243,20.8,68.8,14.2,47.1,-869.145194,-869.069227,-869.039048,-871.905052,-871.840508,-871.815859,22.3,70.0,88.9,11.1,51.6,67.1,0.4590,0.3973,0.6169,1.491331,0.437822,0.158968,-23.24199999999999,-19.054000000000002,-2.093999999999994,-21.147999999999996,-0.014,-0.003,-0.002
38.6619,-869.14587723,-869.071449779,21.8,68.5,14.9,46.9,-869.143664,-869.069634,-869.038741,-871.903938,-871.840858,-871.815366,23.3,69.7,89.1,11.8,51.4,67.4,0.4675,0.3940,0.6156,1.418566,0.481171,0.181591,-23.572000000000003,-19.00399999999999,-2.284000000000006,-21.287999999999997,-0.017,-0.011,0.015
